txn_id,date,account_id,counterparty,description,amount,currency
TXN-9001-0036,2025-01-01,ACC-9001,Northwind Catering,Digital media buy — display — Kyzylorda station,-366837.86,USD
TXN-9529-0014,2025-01-01,ACC-9529,Bridgeport Consulting Group,"Electricity for pumping station — Uralsk annex, Q4",-2116694.13,USD
TXN-9569-0014,2025-01-01,ACC-9569,Hartley Property Solutions Service Centre,Rent for staff dormitory — February 2025,-11642179.90,USD
TXN-9965-0014,2025-01-01,ACC-9965,Juniper Leasing Group (Ekibastuz block B),"Payroll for administrative staff — Kostanay centre, June",-3149550.08,USD
TXN-9521-0049,2025-01-02,ACC-9521,Eastgate Facilities Trust,"Professional indemnity insurance — Ekibastuz block B, Q3",-282855.49,USD
TXN-P1-0007,2025-01-02,ACC-7801,Hartley Building Services Holdings (Turkistan point),Plant and boiler insurance premium — Taraz site 2025,-11065870.19,USD
TXN-P4-0056,2025-01-02,ACC-7804,Cedarville Payroll LP,Revolver interest — November,-2019970.78,USD
TXN-P6-0016,2025-01-02,ACC-7806,Glenwood Facilities Holdings (Oskemen unit),Corporate income tax instalment — Kostanay centre,-440014.44,USD
TXN-P8-0007,2025-01-02,ACC-7808,Ashford Water Works Group JSC (Turkistan point),Marketing co-operative funding received — Astana branch 2025,6830284.13,USD
TXN-9295-0040,2025-01-03,ACC-9295,Bridgeport Water Works LP (Taraz site),Plant and boiler insurance premium — February 2025,-7574184.02,USD
TXN-P1-0012,2025-01-03,ACC-7801,Ironwood Power Trust Enterprise (Karaganda yard),Payroll for laboratory staff — April 2025,-1604249.66,USD
TXN-P6-0005,2025-01-03,ACC-7806,Glenwood Property Trust,Franchise tax filing,-4810458.99,USD
TXN-P6-0020,2025-01-03,ACC-7806,Foxridge Power LLC Ltd (Kyzylorda station),"Rent for spare parts store — Astana branch, instalment 1 2025",-8599812.02,USD
TXN-P8-0001,2025-01-03,ACC-7808,Eastgate Water Works Ltd Company,Rent for spare parts store — Zhezkazgan compound 2025,-1435608.42,USD
TXN-9181-0001,2025-01-04,ACC-9181,Ironwood Security LP Service Centre,Payroll overfunding returned — January,87710.97,USD
TXN-9595-0007,2025-01-04,ACC-9595,Foxridge Landscaping Corp Service Centre,Payroll for security detail — Taraz site 2025,-176035.65,USD
TXN-B1-0019,2025-01-04,ACC-7201,Ashford Office Supplies LLC,Sponsorship marketing of regional sports club — Astana branch,-212472.44,USD
TXN-B1-0034,2025-01-04,ACC-7201,Foxridge Stationery (Almaty office),Corporate income tax instalment — Kostanay centre,-7012825.84,USD
TXN-9079-0001,2025-01-06,ACC-9079,Glenwood Realty Solutions Holding,Sewer discharge levy — period 02 2025,-2443163.45,USD
TXN-P7-0022,2025-01-06,ACC-7807,Ironwood Insurance LLC (Taraz site),"Insurance broker rebate — Semey base, H1",1516471.55,USD
TXN-9851-0004,2025-01-07,ACC-9851,Summit Telecom Group Service Centre (Kostanay centre),"Ground lease instalment — Uralsk annex, period 01 2025",-1264853.78,USD
TXN-B1-0048,2025-01-07,ACC-7201,Bridgeport Leasing LLC (Uralsk annex),"Equipment yard lease — Pavlodar block, Q4 2025",-5414655.83,USD
TXN-P7-0044,2025-01-07,ACC-7807,Juniper Tax Advisory LLC Trading House,Printed marketing collateral run — Zhezkazgan compound,-9477411.59,USD
TXN-9508-0020,2025-01-09,ACC-9508,Eastgate Power Inc (Shymkent depot),Rent for regional office — March,-455512.48,USD
TXN-9598-0050,2025-01-09,ACC-9598,Eastgate Water Works Ltd (Pavlodar block),Interest on working capital line,-1402089.26,USD
TXN-9907-0019,2025-01-09,ACC-9907,Hartley Uniforms LP (Zhezkazgan compound),"Standby generator electricity — Ekibastuz block B, Q3",-4384833.35,USD
TXN-B1-0027,2025-01-09,ACC-7201,Cedarville Facilities,Excise tax credit received — instalment 3 2025,1751470.75,USD
TXN-B4-0039,2025-01-09,ACC-7204,Juniper Printing Inc Trading House (Turkistan point),"Interest credited on current account — Zhezkazgan compound, final call 2025",12367740.28,USD
TXN-P10-0062,2025-01-09,ACC-7810,Cedarville Tax Advisory Partners Trading House (Kyzylorda station),"Interest recovery on overpayment — Pavlodar block, instalment 3 2025",220304.84,USD
TXN-P2-0006,2025-01-09,ACC-7802,Bridgeport Power Corp (Semey base),Property tax payment — Oskemen unit,-2125991.67,USD
TXN-P2-0017,2025-01-09,ACC-7802,Dunmore Realty (Kyzylorda station),"Printed marketing collateral run — Uralsk annex, January 2025",-3249662.49,USD
TXN-P3-0053,2025-01-09,ACC-7803,Dunmore Facilities Associates Trading House,"Rent free period credit — Turkistan point, June",1209157.56,USD
TXN-9174-0034,2025-01-10,ACC-9174,Ironwood Security LP (Oskemen unit),Container yard lease 2025,-4551403.50,USD
TXN-9324-0040,2025-01-10,ACC-9324,Foxridge Security Services Enterprise,"Default interest charge — Kostanay centre, instalment 1",-3416759.63,USD
TXN-9599-0038,2025-01-10,ACC-9599,Initech Software Licenses Company,Outdoor marketing site hire — Kyzylorda station,-3446775.92,USD
TXN-B1-0056,2025-01-10,ACC-7201,Ironwood Realty Services (Karaganda yard),Rent for training centre 2025,-417312.75,USD
TXN-P10-0004,2025-01-10,ACC-7810,Eastgate Maintenance Solutions,Product launch ad campaign,-174400.39,USD
TXN-P5-0033,2025-01-10,ACC-7805,Ashford Uniforms Associates (Shymkent depot),Marketing research panel subscription — Oskemen unit,-1870958.07,USD
TXN-P9-0011,2025-01-10,ACC-7809,Bridgeport Courier Solutions (Ekibastuz block B),Office rent — instalment 3 2025,-238906.18,USD
TXN-P1-0002,2025-01-11,ACC-7801,Foxridge Tax Advisory Corp (Semey base),"Telecom leased line — Kostanay centre, February 2025",-1474435.73,USD
TXN-9986-0018,2025-01-12,ACC-9986,Cedarville Logistics Co Group,"Industry exhibition stand marketing — Atyrau terminal, October",-3809024.41,USD
TXN-P1-0032,2025-01-12,ACC-7801,Eastgate Janitorial Partners (Ekibastuz block B),"Default interest charge — Almaty office, instalment 1 2025",-654151.88,USD
TXN-P5-0048,2025-01-12,ACC-7805,Cedarville Uniforms Solutions Service Centre (Oskemen unit),Antenna mast lease — Kostanay centre,-634250.84,USD
TXN-P5-0054,2025-01-12,ACC-7805,Ashford Maintenance LLC (Zhezkazgan compound),Marketing volume rebate — March 2025,7045005.71,USD
TXN-9829-0011,2025-01-13,ACC-9829,Cedarville Realty LLC Works,"Quarterly estimated tax — Uralsk annex, period 04",-4735552.03,USD
TXN-9991-0014,2025-01-13,ACC-9991,Ashford Payroll Partners (Astana branch),"Insurance broker rebate — Shymkent depot, April 2025",1623587.30,USD
TXN-P10-0008,2025-01-13,ACC-7810,Bridgeport Office Supplies (Semey base),Marketing photography and artwork 2025,-266501.58,USD
TXN-P3-0041,2025-01-13,ACC-7803,Dunmore Utility Inc,Group insurance experience refund — Oskemen unit,1064153.42,USD
TXN-9738-0036,2025-01-14,ACC-9738,Juniper Telecom Inc Works,Rent for training centre — Semey base 2025,-302816.90,USD
TXN-9821-0030,2025-01-14,ACC-9821,Foxridge Insurance Co (Ekibastuz block B),"Trade press marketing insertion — Taraz site, period 01",-8890257.46,USD
TXN-P4-0013,2025-01-14,ACC-7804,Cedarville Uniforms Solutions,Outdoor marketing site hire — Kyzylorda station,-6073547.09,USD
TXN-9103-0036,2025-01-15,ACC-9103,Maple Grove Telecom,Office rent,-672085.61,USD
TXN-9476-0011,2025-01-15,ACC-9476,Ironwood Tax Advisory Inc,"Tax audit assessment payment — Kostanay centre, August 2025",-1799029.68,USD
TXN-9815-0005,2025-01-15,ACC-9815,Dunmore Consulting Corp,"Withholding tax reclaim received — Almaty office, H2",488355.60,USD
TXN-9853-0017,2025-01-15,ACC-9853,Hartley Waste Systems Solutions Supply (Almaty office),"Interest recovery on overpayment — Atyrau terminal, August",7055927.49,USD
TXN-9864-0011,2025-01-15,ACC-9864,Bridgeport Stationery Co,Capitalised interest charge — period 03,-6118004.75,USD
TXN-9908-0036,2025-01-15,ACC-9908,Foxridge Realty Trust (Aktobe hub),Customs duty and tax payment 2025,-1029558.81,USD
TXN-9594-0016,2025-01-16,ACC-9594,Eastgate Supply Ltd Partners,Rent free period credit — Taraz site,4048616.38,USD
TXN-9890-0035,2025-01-16,ACC-9890,Dunmore Property LLC (Aktobe hub),Electricity overbilling refund — January,11175806.15,USD
TXN-9918-0028,2025-01-16,ACC-9918,Cedarville Security Trust,Insurance broker rebate — January 2025,1788574.66,USD
TXN-P7-0026,2025-01-16,ACC-7807,Juniper Landscaping LLC (Aktobe hub),Vehicle livery marketing application — period 03,-824986.91,USD
TXN-9128-0020,2025-01-17,ACC-9128,Bridgeport Cleaning Partners (Turkistan point),Group insurance experience refund,345179.80,USD
TXN-P3-0023,2025-01-17,ACC-7803,Ashford Cleaning Services LLP (Almaty office),"Seasonal payroll run — Taraz site, June 2025",-10504386.24,USD
TXN-P8-0012,2025-01-17,ACC-7808,Sentinel Insurance Group (Aktobe hub),"Interest credited on current account — Semey base, February",2667830.89,USD
TXN-9068-0025,2025-01-18,ACC-9068,Cedarville Waste Systems Inc (Shymkent depot),Rent for archive premises — period 01,-5908197.23,USD
TXN-9217-0015,2025-01-18,ACC-9217,Cedarville Catering Solutions,Customs duty and tax payment — November 2025,-376950.10,USD
TXN-9959-0031,2025-01-18,ACC-9959,Glenwood Building Services Solutions,Interest on working capital line — Karaganda yard 2025,-1093859.72,USD
TXN-9979-0026,2025-01-18,ACC-9979,Hartley Uniforms LP (Kostanay centre),"Customs duty and tax payment — Karaganda yard, October 2025",-3740411.50,USD
TXN-9985-0036,2025-01-18,ACC-9985,Eastgate Logistics Inc (Almaty office),"Payroll for drivers — Turkistan point, period 02 2025",-1212996.05,USD
TXN-9249-0047,2025-01-19,ACC-9249,Juniper Property Services (Aktobe hub),Telecom leased line — February 2025,-4452903.91,USD
TXN-9412-0032,2025-01-19,ACC-9412,Cedarville Facilities (Oskemen unit),"Environmental liability insurance — Oskemen unit, H1",-131433.45,USD
TXN-9030-0036,2025-01-20,ACC-9030,Bridgeport Insurance Partners Group,Land lease — period 02 2025,-2807109.35,USD
TXN-9384-0018,2025-01-20,ACC-9384,Cedarville Insurance Group (Almaty office),Interest on bridge facility — Q3,-4807904.80,USD
TXN-B4-0016,2025-01-20,ACC-7204,Ironwood Power Trust (Ekibastuz block B),"District heating utility charge — Shymkent depot, H2 2025",-10042101.92,USD
TXN-9295-0050,2025-01-21,ACC-9295,Eastgate Utility LLC (Kostanay centre),Telecom mobile fleet plan — Aktobe hub,-531428.16,USD
TXN-9475-0046,2025-01-21,ACC-9475,Hartley Consulting LLC (Almaty office),Professional indemnity insurance — June,-7876181.52,USD
TXN-9826-0039,2025-01-21,ACC-9826,Ashford Cleaning Services Trading House,"Retail unit rent — Turkistan point, May",-2130242.17,USD
TXN-P5-0026,2025-01-21,ACC-7805,Bridgeport Supply LP,Water charge adjustment credit 2025,1481878.83,USD
TXN-9288-0038,2025-01-22,ACC-9288,Glenwood Stationery Associates (Semey base),Interest on escrow balance — Taraz site 2025,665404.89,USD
TXN-9556-0041,2025-01-22,ACC-9556,Juniper Facilities Group,"Media buy rate adjustment credit — Pavlodar block, February",1656172.73,USD
TXN-9625-0030,2025-01-22,ACC-9625,Juniper Janitorial Ltd (Zhezkazgan compound),"Interest on export credit line — Kostanay centre, February 2025",-954127.15,USD
TXN-9855-0008,2025-01-22,ACC-9855,Dunmore Waste Systems LLC JSC (Kostanay centre),Payroll for warehouse staff — Almaty office 2025,-8294611.85,USD
TXN-P4-0018,2025-01-22,ACC-7804,Juniper Uniforms Co LLP,"Warehouse lease — Semey base, June 2025",-2356896.70,USD
