txn_id,scenario_id,date,counterparty,amount_usd,category,party,scope,excluded,exclusion_reason,origin,confidence
TXN-P1-0007,P1,2025-01-02,Hartley Building Services Holdings (Turkistan point),-11065870.19,insurance,,borrower,0,,шаг 10: insurance,1.00
TXN-P4-0056,P4,2025-01-02,Cedarville Payroll LP,-2019970.78,interest,,borrower,0,,шаг 10: interest,1.00
TXN-P6-0016,P6,2025-01-02,Glenwood Facilities Holdings (Oskemen unit),-440014.44,taxes,,borrower,0,,шаг 10: taxes,1.00
TXN-P8-0007,P8,2025-01-02,Ashford Water Works Group JSC (Turkistan point),6830284.13,marketing,,borrower,0,,шаг 10: marketing,1.00
TXN-P1-0012,P1,2025-01-03,Ironwood Power Trust Enterprise (Karaganda yard),-1604249.66,payroll,,borrower,0,,шаг 10: payroll,1.00
TXN-P6-0005,P6,2025-01-03,Glenwood Property Trust,-4810458.99,taxes,,borrower,0,,шаг 10: taxes,1.00
TXN-P6-0020,P6,2025-01-03,Foxridge Power LLC Ltd (Kyzylorda station),-8599812.02,lease,,borrower,0,,шаг 10: lease,1.00
TXN-P8-0001,P8,2025-01-03,Eastgate Water Works Ltd Company,-1435608.42,lease,,borrower,0,,шаг 10: lease,1.00
TXN-B1-0019,B1,2025-01-04,Ashford Office Supplies LLC,-212472.44,marketing,,borrower,0,,шаг 10: marketing,1.00
TXN-B1-0034,B1,2025-01-04,Foxridge Stationery (Almaty office),-7012825.84,taxes,,borrower,0,,шаг 10: taxes,1.00
TXN-P7-0022,P7,2025-01-06,Ironwood Insurance LLC (Taraz site),1516471.55,insurance,,borrower,0,,шаг 10: insurance,1.00
TXN-B1-0048,B1,2025-01-07,Bridgeport Leasing LLC (Uralsk annex),-5414655.83,lease,,borrower,0,,шаг 10: lease,1.00
TXN-P7-0044,P7,2025-01-07,Juniper Tax Advisory LLC Trading House,-9477411.59,marketing,,borrower,0,,шаг 10: marketing,1.00
TXN-B1-0027,B1,2025-01-09,Cedarville Facilities,1751470.75,taxes,,borrower,0,,шаг 10: taxes,1.00
TXN-B4-0039,B4,2025-01-09,Juniper Printing Inc Trading House (Turkistan point),12367740.28,interest,,borrower,0,,шаг 10: interest,1.00
TXN-P10-0062,P10,2025-01-09,Cedarville Tax Advisory Partners Trading House (Kyzylorda station),220304.84,interest,,borrower,0,,шаг 10: interest,1.00
TXN-P2-0006,P2,2025-01-09,Bridgeport Power Corp (Semey base),-2125991.67,taxes,,borrower,0,,шаг 10: taxes,1.00
TXN-P2-0017,P2,2025-01-09,Dunmore Realty (Kyzylorda station),-3249662.49,marketing,,borrower,0,,шаг 10: marketing,1.00
TXN-P3-0053,P3,2025-01-09,Dunmore Facilities Associates Trading House,1209157.56,lease,,borrower,0,,шаг 10: lease,1.00
TXN-B1-0056,B1,2025-01-10,Ironwood Realty Services (Karaganda yard),-417312.75,lease,,borrower,0,,шаг 10: lease,1.00
TXN-P10-0004,P10,2025-01-10,Eastgate Maintenance Solutions,-174400.39,marketing,,borrower,0,,шаг 10: marketing,1.00
TXN-P5-0033,P5,2025-01-10,Ashford Uniforms Associates (Shymkent depot),-1870958.07,marketing,,borrower,0,,шаг 10: marketing,1.00
TXN-P9-0011,P9,2025-01-10,Bridgeport Courier Solutions (Ekibastuz block B),-238906.18,lease,,borrower,0,,шаг 10: lease,1.00
TXN-P1-0002,P1,2025-01-11,Foxridge Tax Advisory Corp (Semey base),-1474435.73,utilities,,borrower,0,,шаг 10: utilities,1.00
TXN-P1-0032,P1,2025-01-12,Eastgate Janitorial Partners (Ekibastuz block B),-654151.88,interest,,borrower,0,,шаг 10: interest,1.00
TXN-P5-0048,P5,2025-01-12,Cedarville Uniforms Solutions Service Centre (Oskemen unit),-634250.84,lease,,borrower,0,,шаг 10: lease,1.00
TXN-P5-0054,P5,2025-01-12,Ashford Maintenance LLC (Zhezkazgan compound),7045005.71,marketing,,borrower,0,,шаг 10: marketing,1.00
